,chemicalFormula,licenses,names,preparation,references,Axis Length,Axis Length-conditions,Axis Length-units,Bulk Modulus,Bulk Modulus-conditions,Bulk Modulus-maximum,Bulk Modulus-minimum,Bulk Modulus-units,Cell Angle,Cell Angle-conditions,Cell Angle-units,Chemical Family,Commercial Name,Compressive Strength,Compressive Strength-conditions,Compressive Strength-maximum,Compressive Strength-minimum,Compressive Strength-units,Corrosion Activtn Energy,Corrosion Activtn Energy-conditions,Corrosion Activtn Energy-units,Corrosion Rate,Corrosion Rate-conditions,Corrosion Rate-units,Corrosion Species,Corrosion Species-conditions,Creep Activatn Energy,Creep Activatn Energy-conditions,Creep Activatn Energy-units,Creep Rate,Creep Rate Exponent,Creep Rate Exponent-conditions,Creep Rate-conditions,Creep Rate-units,Crystal Cell System,Crystal Cell System-conditions,Crystallinity,Debye Temperature,Debye Temperature-conditions,Debye Temperature-units,Density,Density-conditions,Density-maximum,Density-minimum,Density-units,Diffusion Coefficient,Diffusion Coefficient-conditions,Diffusion Coefficient-units,Dopant,Dopant-conditions,Elastic Modulus,Elastic Modulus-conditions,Elastic Modulus-maximum,Elastic Modulus-minimum,Elastic Modulus-units,Elasticity Tensor,Elasticity Tensor-conditions,Elasticity Tensor-units,Electrical Resistivity Log,Electrical Resistivity Log-conditions,Electrical Resistivity Log-units,Flexural Strength,Flexural Strength-conditions,Flexural Strength-maximum,Flexural Strength-minimum,Flexural Strength-units,Fracture Energy,Fracture Energy-conditions,Fracture Energy-units,Fracture Toughness,Fracture Toughness-conditions,Fracture Toughness-maximum,Fracture Toughness-minimum,Fracture Toughness-units,Friction Coefficient,Friction Coefficient-conditions,Friction Coefficient-maximum,Friction Coefficient-minimum,Grain Size,Grain Size-conditions,Grain Size-maximum,Grain Size-minimum,Grain Size-units,Grinding Rat,Grinding Rat-conditions,Grinding Rat-units,Gruneisen Parameter,Gruneisen Parameter-conditions,Hardness,Hardness-conditions,Hardness-maximum,Hardness-minimum,Hardness-units,Impurity,Impurity-conditions,InChI,Log Wear Coefficient,Log Wear Coefficient-conditions,Log Wear Rate,Log Wear Rate-conditions,Log Wear Rate-units,Manufacturer,Maximum-Use Temperature,Maximum-Use Temperature-conditions,Maximum-Use Temperature-units,Melting Point Temperature,Melting Point Temperature-conditions,Melting Point Temperature-units,Phase,Phase-conditions,Poissons Ratio,Poissons Ratio-conditions,Poissons Ratio-maximum,Poissons Ratio-minimum,Porosity,Porosity-conditions,Porosity-units,Production Form,Relative Atomic Coordinate,Relative Atomic Coordinate-conditions,SMILES,Shear Modulus,Shear Modulus-conditions,Shear Modulus-units,Sintering Aid,Sintering Aid-conditions,Sound Velocity,Sound Velocity-conditions,Sound Velocity-units,Space Group,Space Group-conditions,Specific Heat,Specific Heat-conditions,Specific Heat-units,Tensile Strength,Tensile Strength-conditions,Tensile Strength-maximum,Tensile Strength-minimum,Tensile Strength-units,Thermal Conductivity,Thermal Conductivity-conditions,Thermal Conductivity-units,Thermal Diffusivity,Thermal Diffusivity-conditions,Thermal Diffusivity-units,Thermal Expansion,Thermal Expansion-conditions,Thermal Expansion-units,Thermal Shock Resistance,Thermal Shock Resistance-conditions,Thermal Shock Resistance-units,Weibull Modulus,Weibull Modulus-conditions,Weibull Strength,Weibull Strength-conditions,Weibull Strength-units
2960,Al2O3.xZrO2,[{'name': 'NIST_SRD-30'}],['Alumina'],[{'name': 'Hot Pressing'}],"[{'citation': 'Fracture Toughness of Al2O3 with an Unstabilized ZrO2 Dis persed Phase, N. Claussen, Journal of the American Ceramic Society, Vol. 59 1, pp. 49-51 (1976), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-O:ZrO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,"[{'name': 'Volume Fraction of ZrO2', 'scalars': [{'value': '5'}, {'value': '7'}, {'value': '10'}, {'value': '15'}, {'value': '20'}, {'value': '0'}, {'value': '2'}, {'value': '5'}, {'value': '7'}, {'value': '10'}, {'value': '12'}, {'value': '15'}, {'value': '20'}], 'units': '%'}, {'name': 'ZrO2Type', 'scalars': [{'value': 'ZrO2-I'}, {'value': 'ZrO2-I'}, {'value': 'ZrO2-I'}, {'value': 'ZrO2-I'}, {'value': 'ZrO2-I'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}, {'value': 'ZrO2-II'}]}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,Al2O3.xZrO2,[{'name': 'NIST_SRD-30'}],['Alumina composite'],[{'name': 'Sintering'}],"[{'citation': 'Creep Behaviour of Alumina, Zirconia and Zirconia-Toughened Alumina, J. Chevalier, C. Olagnon, G. Fantozzi, and H. Gros, Journal of the European Ceramic Society, Vol. 17, pp. 859-864 (1997), published by Elsevier Science Ltd..'}]",,,,,,,,,,,,Al-O:ZrO,,,,,,,,,,,,,,,760,"[{'name': 'Specimen', 'scalars': [{'value': 'A1-10Z1'}]}]",kJ mol$^{-1}$,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desmarquest Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2962,AlN.xSiC.yY2O3,[{'name': 'NIST_SRD-30'}],['Aluminum nitride composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Mechanical Properties of Monolithic AlN and SiCw/AlN Composites, C.K. Unni and D.E. Gordon, Journal of Materials Science, Vol. 30, pp. 1173-1179 (1995), published by Chapman and Hall.'}]",,,,,,,,,,,,"Al-N:SiC,Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,"[{'name': 'Density', 'scalars': [{'value': '3.18'}, {'value': '3.24'}, {'value': '3.26'}], 'units': 'g/cm$^{3}$'}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],,"[{'citation': 'Effects of Environment on the Mechanical Behavior of High-Performance Ceramics, G.A. Graves and N.L. Hecht, Report No. UDR-TR-94-136, pp. 1-138 (1995), published by University of Dayton Research Institute.'}]",,,,,,,,,,,,"Si-N:SrO,Y",,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,"[{'name': 'Temperature', 'scalars': [{'value': '1300'}, {'value': '20'}, {'value': '1300'}], 'units': '$^{\\circ}$C'}, {'name': 'Crosshead Speed', 'scalars': [{'value': '0.00004'}, {'value': '0.004'}, {'value': '0.004'}], 'units': 'cm/s'}, {'name': 'Test Type', 'scalars': [{'value': 'flexural'}]}]",,,
2964,SiC.xTiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'In Situ-Toughened Silicon Carbide-Titanium Carbide Composites, K.S. Cho, Y.W. Kim, H.J. Choi, and J.G. Lee, Journal of the American Ceramic Society, Vol. 79 6, pp. 1711-1713 (1996), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C:TiC,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,"[{'name': 'Relative Density', 'scalars': [{'value': '99.4'}], 'units': '%'}, {'name': 'Specimen Number', 'scalars': [{'value': '5'}]}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,Si3N4.xY2O3.ySiO2.zMo2C,[{'name': 'NIST_SRD-30'}],['Silicon nitride composite'],[{'name': 'Sintering'}],"[{'citation': 'Ceramic Technology Project Data Base:  September 1992 Summary Report, B.L.P. Keyes, ORNL Report Number:  ORNL/M-2775, pp. 1-171 (1992), published by Oak Ridge National Laboratory.'}]",,,,,,,,,,,,Si-N:Mo,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Specimen Number', 'scalars': [{'value': 'A'}]}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceradyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2966,AlN.SiC,[{'name': 'NIST_SRD-30'}],['Aluminum nitride composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Fracture Toughness of Ceramics in the AlN-SiC System, R.N. Katz, S. Grendahl, K. Cho, I. Bar-On, and W. Rafaniello, Ceramic Engineering and Science Proceedings, Vol. 15, pp. 877-884 (1994), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-N:SiC,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,"[{'name': 'Phase', 'scalars': [{'value': 'AlN/SiC'}]}]",,,$\mu$m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967,TiB2,[{'name': 'NIST_SRD-30'}],['Titanium diboride'],,"[{'citation': 'Titanium Diboride, C. Mroz, American Ceramic Society Bulletin, Vol. 73 6, pp. 136-137 (1994), published by American Ceramic Society.'}]",,,,,,,,,,,,Ti-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"[{'name': 'Typical Range', 'scalars': [{'minimum': '5', 'maximum': '7'}], 'units': 'MPa m$^{1/2}$'}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2968,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Sintering'}],"[{'citation': 'Physical Property Measurements of High Temperature Composites, D.J. Green, J.R. Hellmann, and M.F. Modest, Projects Within the Center for Advanced Materials, pp. 71-90 (1990), edited by J.R. Hellmann and B.K. Kennedy, published by Center for Advanced Materials, Pennsylvania State University.'}]",,,,,,,,,,,,Si-C,Hexoloy SA,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,3.16,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sohio Engineered Materials Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,HfO2.xEr2O3,[{'name': 'NIST_SRD-30'}],['Hafnia (cubic)'],[{'name': 'Sintering'}],"[{'citation': 'Elastic Properties of Stabilized HfO2 Compositions, S.L. Dole, O. Hunter,Jr., and F.W. Calderwood, Journal of the American Ceramic Society, Vol. 63 3, pp. 136-139 (1980), published by American Ceramic Society.'}]",,,,,,,,,,,,Hf-O:Er,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,234,"[{'name': 'Volume Fraction of Porosity', 'scalars': [{'value': '0.026'}, {'value': '0.037'}, {'value': '0.040'}, {'value': '0.051'}, {'value': '0.075'}, {'value': '0.080'}, {'value': '0.081'}, {'value': '0.292'}, {'value': '0.365'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}, {'value': '0.080'}]}, {'name': 'Temperature', 'scalars': [{'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '130'}, {'value': '265'}, {'value': '380'}, {'value': '500'}, {'value': '600'}, {'value': '700'}, {'value': '800'}, {'value': '900'}, {'value': '1000'}, {'value': '1100'}, {'value': '1200'}, {'value': '1300'}, {'value': '1400'}, {'value': '1500'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,B4C,[{'name': 'NIST_SRD-30'}],['Boron carbide'],,"[{'citation': 'Investigation of the Real Crystal Structure of Boron and Some of Its Compounds, G. V. Tsagareishvili, G. Sh. Darsavelidze, M. E. Antadze, and O. A. Tsagareishvili, Report N 393, Inventorial Number 0287.0 022480, pp. 1-142 (1986), edited by The Institute of Metallurgy of Georgian Academy of Sciences, published by Russian Scientific and Informatic Center.'}]",,,,,,,,,,,,B-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,"[{'name': 'Temperature Range', 'scalars': [{'minimum': '285', 'maximum': '1213'}], 'units': 'K'}]",x10$^{-6}$,,,,,,,,
2971,ZrO2.xCeO2,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],[{'name': 'Sintering'}],"[{'citation': 'Elastic Modulus and Fracture Toughness of CeO2-Containing Tetragonal Zirconia Polycrystals, Y. Kubota, M. Ashizuka, and H. Hokazono, Journal of the Ceramic Society of Japan, Vol. 102 2, pp. 175-179 (1994), published by Ceramic Society of Japan.'}]",,,,,,,,,,,,Zr-O:CeO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,"[{'name': 'Specimen', 'scalars': [{'value': 'I'}]}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Mode', 'scalars': [{'value': 'Longitudinal'}, {'value': 'Shear'}]}]",km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,SiC.xAlN,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Hot Pressing'}],"[{'citation': 'Tensile Strength of Engineering Ceramics, Y. Fujisawa, K. Matsusue, and K. Takahara, Journal of the Society of Materials Science, Japan, Vol. 35, pp. 1112-1117 (1986), published by Kyoto: Nihon Zairyo Gakkai.'}]",,,,,,,,,,,,Si-C:AlN,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,"[{'name': 'Temperature', 'scalars': [{'value': '22'}], 'units': '$^{\\circ}$C'}]",,,
2973,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Sintering'}],"[{'citation': 'Creep of Sintered Silicon Nitride, D. Chakraborty and A.K. Mukhopadhyay, Ceramics International, Vol. 15, pp. 237-245 (1989), published by Elsevier Applied Science.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,"[{'name': 'Aspect Ratio', 'scalars': [{'value': '1.4', 'uncertainty': '0.4'}]}, {'name': 'Sample Number', 'scalars': [{'value': 'B'}]}]",,,$\mu$m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],,"[{'citation': 'Effects of Environment on the Mechanical Behavior of High-Performance Ceramics, G.A. Graves and N.L. Hecht, Report No. UDR-TR-94-136, pp. 1-138 (1995), published by University of Dayton Research Institute.'}]",,,,,,,,,,,,Si-N:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,Norton/TRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Effect of Hot Isostatic Pressing on the Properties of Sintered Alpha Silicon Carbide, G.K. Watson, T.J. Moore, and M.L. Millard, American Ceramic Society Bulletin, Vol. 64 9, pp. 1253-1256 (1985), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,"[{'name': 'HIPTemperature', 'scalars': [{'value': '-'}, {'value': '2200'}, {'value': '-'}, {'value': '2200'}, {'value': '-'}, {'value': '2200'}, {'value': '-'}, {'value': '2200'}], 'units': '$^{\\circ}$C'}, {'name': 'Test Temperature', 'scalars': [{'value': '22'}, {'value': '22'}, {'value': '22'}, {'value': '22'}, {'value': '1200'}, {'value': '1200'}, {'value': '1200'}, {'value': '1200'}], 'units': '$^{\\circ}$C'}, {'name': 'Lot Number', 'scalars': [{'value': '1'}, {'value': '1'}, {'value': '2'}, {'value': '2'}, {'value': '1'}, {'value': '1'}, {'value': '2'}, {'value': '2'}]}]",,,
2976,L2O3,[{'name': 'NIST_SRD-30'}],['Lutetium oxide'],[{'name': 'Sintering'}],"[{'citation': 'Porosity Dependence of Elastic Properties of Polycrystalline Cubic Lu2O3, O. Hunter,Jr. and G.E. Graddy,Jr., Journal of the American Ceramic Society, Vol. 59 1, pp. 82-82 (1976), published by American Ceramic Society.'}]",,,,,,,,,,,,Lu-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,"[{'name': 'Volume Fraction of Porosity', 'scalars': [{'value': '0.031'}, {'value': '0.037'}, {'value': '0.037'}, {'value': '0.040'}, {'value': '0.057'}, {'value': '0.077'}, {'value': '0.092'}, {'value': '0.094'}, {'value': '0.096'}, {'value': '0.109'}, {'value': '0.129'}, {'value': '0.183'}, {'value': '0.235'}, {'value': '0.285'}, {'value': '0.328'}]}]",GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2977,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Weibull Characterization of Four Hipped/Posthipped Engineering Ceramics Between Room Temperature and 1500 °C, J. Kubler, Mechanische Charakterisierung von Hochleistungskeramik Festigkeitsunte, pp. 1-88 (1992), published by EMPA Swiss Federal Laboratories for Materials Testing and Research.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,
2978,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Evaluation of Japanese Yttria Tetragonal Zirconia Polycrystal (Y-TZP) Materials, J.J. Swab, Ceramic Engineering and Science Proceedings, Vol. 8 7, pp. 886-891 (1987), published by American Ceramic Society.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,"[{'name': 'Oxidation Temperature', 'scalars': [{'value': '23'}, {'value': '1000'}, {'value': '1000'}], 'units': '$^{\\circ}$C'}, {'name': 'Oxidation Time', 'scalars': [{'value': '0'}, {'value': '100'}, {'value': '500'}], 'units': 'h'}, {'name': 'Test Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,Koransha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,B4C,[{'name': 'NIST_SRD-30'}],['Boron carbide'],[{'name': 'Hot Pressing'}],"[{'citation': 'Mechanical Properties of Hot-Pressed B-B4C Materials, B. Champagne and R. Angers, Journal of the American Ceramic Society, Vol. 62, pp. 149-153 (1979), published by American Ceramic Society.'}]",5.601,"[{'name': 'Mass Fraction of B', 'scalars': [{'value': '0'}, {'value': '0'}, {'value': '1'}, {'value': '1'}, {'value': '5'}, {'value': '5'}, {'value': '10'}, {'value': '10'}, {'value': '15'}, {'value': '15'}], 'units': '%'}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Axis', 'scalars': [{'value': 'a'}, {'value': 'c'}, {'value': 'a'}, {'value': 'c'}, {'value': 'a'}, {'value': 'c'}, {'value': 'a'}, {'value': 'c'}, {'value': 'a'}, {'value': 'c'}]}]",$\AA$,,,,,,,,,B-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,BeO,[{'name': 'NIST_SRD-30'}],['Beryllia'],[{'name': 'Flux Growth'}],"[{'citation': 'High-Temperature Creep of Some Single Crystal Oxides, G.S. Corman, Ceramic Engineering and Science Proceedings, Vol. 12 9, pp. 1745-1766 (1991), published by American Ceramic Society.'}]",,,,,,,,,,,,Be-O,,,,,,,,,,,,,,,,,,9800,,,"[{'name': 'Temperature', 'scalars': [{'value': '900'}, {'value': '850'}, {'value': '800'}, {'value': '800'}, {'value': '750'}, {'value': '700'}, {'value': '800'}, {'value': '750'}, {'value': '700'}, {'value': '650'}, {'value': '700'}, {'value': '650'}, {'value': '1850'}, {'value': '1750'}, {'value': '1650'}, {'value': '1850'}, {'value': '1750'}, {'value': '1750'}, {'value': '1650'}, {'value': '1750'}], 'units': '$^{\\circ}$C'}, {'name': 'Applied Stress', 'scalars': [{'value': '12.5'}, {'value': '12.5'}, {'value': '12.5'}, {'value': '25'}, {'value': '25'}, {'value': '25'}, {'value': '30'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '70'}, {'value': '70'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '70'}, {'value': '70'}, {'value': '100'}, {'value': '100'}, {'value': '140'}], 'units': 'MPa'}, {'name': 'Crystal Direction', 'scalars': [{'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '101'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}, {'minimum': '1', 'maximum': '100'}]}]",10$^{-9}$ s$^{-1}$,,,Single Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,SiO2,[{'name': 'NIST_SRD-30'}],['Silica (fused)'],,"[{'citation': 'High Temperature-Elastic Moduli and Internal Dilational and Shear Frictions of Fused Quartz, M. Fukuhara and A. Sanpei, Japanese Journal of Applied Physics, Vol. 33, pp. 2890-2893 (1994), published by Publication Office, Japanese Journal of Applied Physics.'}]",,,,,,,,,,,,Si-O,T-1030,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,73.6,"[{'name': 'Temperature', 'scalars': [{'value': '300'}, {'value': '450'}, {'value': '600'}, {'value': '750'}, {'value': '900'}, {'value': '1050'}, {'value': '1200'}, {'value': '1350'}, {'value': '1500'}, {'value': '1650'}], 'units': 'K'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toshiba Ceramics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,B4C,[{'name': 'NIST_SRD-30'}],['Boron carbide'],[{'name': 'Hot Pressing'}],"[{'citation': 'Complex Investigation of Hot-Pressed Boron Carbide, G.A. Gogotsi, Y.L. Groushevsky, O.B. Dashevskaya, Y.G. Gogotsi, and V.A. Lavrenko, Journal of the Less-Common Metals, Vol. 117, pp. 225-230 (1986), published by Elsevier Sequoia.'}]",,,,,,,,,,,,B-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,2.51,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
